naam,latijn,zonlicht,water,grootte,moeilijkheid,beschrijving
Syngonium, Philodendron, Zonnig, Regelmatig, Gemiddeld, Gemakkelijk, Het blad van de Syngonium 'Pixie' heeft in zijn bladvorm het meeste weg van de Aronskelk.
Bananenplant, Musa, Zonnig, Regelmatig, Gemiddeld, Gemiddeld, De Musa stelt wel enige eisen aan zijn verzorging en omgeving. 
Lantaarnplant, Ceropegia, Schaduw, Zelden, Klein, Gemiddeld, De Ceropegia sandersonii heeft bijzondere parachutevormige bloemen.
Gatenplant, Monstera Deliciosa, Beschut, Gemiddeld, Groot, Gemakkelijk, Een ideale plant voor een snel groen resultaat. De Monstera deliciosa is een kruipende klimplant.
Stippenbegonia, Begonia Maculata, Beschut, Zelden, Gemiddeld, Gemiddeld, De stippenbegonia is een aantrekkelijke plant.
